movie_title,imdb_score,year,gross,budget,profit_markup_pr,continent,genre,mycolor
Courage Under Fire ,6.6,1996,58918501,46000000.00,28,Central America,Mystery,profit
Courage Under Fire ,6.6,1996,58918501,46000000.00,28,Central America,Thriller,profit
Courage Under Fire ,6.6,1996,58918501,46000000.00,28,Central America,War,profit
Liar Liar ,6.8,1997,181395380,45000000.00,303,Central America,Comedy,profit
Liar Liar ,6.8,1997,181395380,45000000.00,303,Central America,Fantasy,profit
Liar Liar ,6.8,1997,181395380,45000000.00,303,Central America,Romance,profit
Paranormal Activity: The Marked Ones ,5,2014,32453345,5000000.00,549,Central America,Fantasy,profit
Paranormal Activity: The Marked Ones ,5,2014,32453345,5000000.00,549,Central America,Horror,profit
Paranormal Activity: The Marked Ones ,5,2014,32453345,5000000.00,549,Central America,Thriller,profit
The Flintstones ,4.8,1994,130512915,45000000.00,190,Central America,Comedy,profit
The Flintstones ,4.8,1994,130512915,45000000.00,190,Central America,Family,profit
The Flintstones ,4.8,1994,130512915,45000000.00,190,Central America,Fantasy,profit
The Lazarus Effect ,5.2,2015,25799043,3300000.00,682,Central America,Horror,profit
The Lazarus Effect ,5.2,2015,25799043,3300000.00,682,Central America,Sci-Fi,profit
The Lazarus Effect ,5.2,2015,25799043,3300000.00,682,Central America,Thriller,profit
Scary Movie 3 ,5.5,2003,110000082,48000000.00,129,Central America,Comedy,profit
Miss Congeniality ,6.2,2000,106807667,45000000.00,137,Central America,Action,profit
Miss Congeniality ,6.2,2000,106807667,45000000.00,137,Central America,Comedy,profit
Miss Congeniality ,6.2,2000,106807667,45000000.00,137,Central America,Crime,profit
Miss Congeniality ,6.2,2000,106807667,45000000.00,137,Central America,Romance,profit
Journey to the Center of the Earth ,5.8,2008,101702060,45000000.00,126,Central America,Action,profit
Journey to the Center of the Earth ,5.8,2008,101702060,45000000.00,126,Central America,Adventure,profit
Journey to the Center of the Earth ,5.8,2008,101702060,45000000.00,126,Central America,Family,profit
Journey to the Center of the Earth ,5.8,2008,101702060,45000000.00,126,Central America,Fantasy,profit
Journey to the Center of the Earth ,5.8,2008,101702060,45000000.00,126,Central America,Sci-Fi,profit
The Princess Diaries 2: Royal Engagement ,5.7,2004,95149435,40000000.00,138,Central America,Comedy,profit
The Princess Diaries 2: Royal Engagement ,5.7,2004,95149435,40000000.00,138,Central America,Family,profit
The Princess Diaries 2: Royal Engagement ,5.7,2004,95149435,40000000.00,138,Central America,Romance,profit
The Pelican Brief ,6.5,1993,100768056,45000000.00,124,Central America,Crime,profit
The Pelican Brief ,6.5,1993,100768056,45000000.00,124,Central America,Drama,profit
The Pelican Brief ,6.5,1993,100768056,45000000.00,124,Central America,Mystery,profit
The Pelican Brief ,6.5,1993,100768056,45000000.00,124,Central America,Thriller,profit
The Client ,6.7,1994,92115211,45000000.00,105,Central America,Crime,profit
The Client ,6.7,1994,92115211,45000000.00,105,Central America,Drama,profit
The Client ,6.7,1994,92115211,45000000.00,105,Central America,Mystery,profit
The Client ,6.7,1994,92115211,45000000.00,105,Central America,Thriller,profit
The Bucket List ,7.4,2007,93452056,45000000.00,108,Central America,Adventure,profit
The Bucket List ,7.4,2007,93452056,45000000.00,108,Central America,Comedy,profit
The Bucket List ,7.4,2007,93452056,45000000.00,108,Central America,Drama,profit
Patriot Games ,6.9,1992,83287363,45000000.00,85,Central America,Action,profit
Patriot Games ,6.9,1992,83287363,45000000.00,85,Central America,Thriller,profit
Everybody's Fine ,7.2,2009,8855646,21000000.00,-58,Central America,Adventure,loss
Everybody's Fine ,7.2,2009,8855646,21000000.00,-58,Central America,Drama,loss
Prisoners ,8.1,2013,60962878,46000000.00,33,Central America,Crime,profit
Prisoners ,8.1,2013,60962878,46000000.00,33,Central America,Drama,profit
Prisoners ,8.1,2013,60962878,46000000.00,33,Central America,Mystery,profit
Prisoners ,8.1,2013,60962878,46000000.00,33,Central America,Thriller,profit
Training Day ,7.7,2001,76261036,45000000.00,69,Central America,Crime,profit
Training Day ,7.7,2001,76261036,45000000.00,69,Central America,Drama,profit
Training Day ,7.7,2001,76261036,45000000.00,69,Central America,Thriller,profit
Cursed ,5,2005,19294901,35000000.00,-45,Central America,Comedy,loss
Cursed ,5,2005,19294901,35000000.00,-45,Central America,Horror,loss
Scary Movie 2 ,5.2,2001,71277420,45000000.00,58,Central America,Comedy,profit
The Muppets ,7.1,2011,88625922,45000000.00,97,Central America,Adventure,profit
The Muppets ,7.1,2011,88625922,45000000.00,97,Central America,Comedy,profit
The Muppets ,7.1,2011,88625922,45000000.00,97,Central America,Family,profit
The Muppets ,7.1,2011,88625922,45000000.00,97,Central America,Musical,profit
Blade ,7.1,1998,70001065,45000000.00,56,Central America,Action,profit
Blade ,7.1,1998,70001065,45000000.00,56,Central America,Horror,profit
Coach Carter ,7.2,2005,67253092,30000000.00,124,Central America,Drama,profit
Coach Carter ,7.2,2005,67253092,30000000.00,124,Central America,Sport,profit
Changing Lanes ,6.5,2002,66790248,45000000.00,48,Central America,Drama,profit
Changing Lanes ,6.5,2002,66790248,45000000.00,48,Central America,Thriller,profit
Anaconda ,4.6,1997,65557989,45000000.00,46,Central America,Action,profit
Anaconda ,4.6,1997,65557989,45000000.00,46,Central America,Adventure,profit
Anaconda ,4.6,1997,65557989,45000000.00,46,Central America,Horror,profit
Anaconda ,4.6,1997,65557989,45000000.00,46,Central America,Thriller,profit
Coyote Ugly ,5.6,2000,60786269,45000000.00,35,Central America,Comedy,profit
Coyote Ugly ,5.6,2000,60786269,45000000.00,35,Central America,Drama,profit
Coyote Ugly ,5.6,2000,60786269,45000000.00,35,Central America,Music,profit
Coyote Ugly ,5.6,2000,60786269,45000000.00,35,Central America,Romance,profit
Strange Wilderness ,5.3,2008,6563357,20000000.00,-67,Central America,Adventure,loss
Strange Wilderness ,5.3,2008,6563357,20000000.00,-67,Central America,Comedy,loss
A Bug's Life ,7.2,1998,162792677,120000000.00,36,Central America,Adventure,profit
A Bug's Life ,7.2,1998,162792677,120000000.00,36,Central America,Animation,profit
A Bug's Life ,7.2,1998,162792677,120000000.00,36,Central America,Comedy,profit
A Bug's Life ,7.2,1998,162792677,120000000.00,36,Central America,Family,profit
A Bug's Life ,7.2,1998,162792677,120000000.00,36,Central America,Fantasy,profit
From Hell ,6.8,2001,31598308,35000000.00,-10,Central America,Horror,loss
From Hell ,6.8,2001,31598308,35000000.00,-10,Central America,Mystery,loss
From Hell ,6.8,2001,31598308,35000000.00,-10,Central America,Thriller,loss
Halloween 4: The Return of Michael Myers ,5.9,1988,17768000,5000000.00,255,Central America,Horror,profit
Halloween 4: The Return of Michael Myers ,5.9,1988,17768000,5000000.00,255,Central America,Thriller,profit
Tin Cup ,6.3,1996,53854588,45000000.00,20,Central America,Comedy,profit
Tin Cup ,6.3,1996,53854588,45000000.00,20,Central America,Drama,profit
Tin Cup ,6.3,1996,53854588,45000000.00,20,Central America,Romance,profit
Tin Cup ,6.3,1996,53854588,45000000.00,20,Central America,Sport,profit
Kicking & Screaming ,5.6,2005,52580895,45000000.00,17,Central America,Comedy,profit
Kicking & Screaming ,5.6,2005,52580895,45000000.00,17,Central America,Family,profit
Kicking & Screaming ,5.6,2005,52580895,45000000.00,17,Central America,Romance,profit
Kicking & Screaming ,5.6,2005,52580895,45000000.00,17,Central America,Sport,profit
The Hitchhiker's Guide to the Galaxy ,6.8,2005,51019112,50000000.00,2,Central America,Adventure,profit
The Hitchhiker's Guide to the Galaxy ,6.8,2005,51019112,50000000.00,2,Central America,Comedy,profit
The Hitchhiker's Guide to the Galaxy ,6.8,2005,51019112,50000000.00,2,Central America,Sci-Fi,profit
